,Unnamed: 0,index, FIPS,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent 5-Year Trend (ˆ) in Incidence Rates,Lower 95% Confidence Interval.1,Upper 95% Confidence Interval.1,index.1, FIPS.1,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.1",Lower 95% Confidence Interval.2,Upper 95% Confidence Interval.2,Average Annual Count.1,Recent 5-Year Trend (ˆ) in Incidence Rates.1,Lower 95% Confidence Interval.1.1,Upper 95% Confidence Interval.1.1,index.2, FIPS.2,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.2",Lower 95% Confidence Interval.3,Upper 95% Confidence Interval.3,Average Annual Count.2,Recent 5-Year Trend (ˆ) in Incidence Rates.2,Lower 95% Confidence Interval.1.2,Upper 95% Confidence Interval.1.2,index.3, FIPS.3,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.3",Lower 95% Confidence Interval.4,Upper 95% Confidence Interval.4,Average Annual Count.3,Recent 5-Year Trend (ˆ) in Incidence Rates.3,Lower 95% Confidence Interval.1.3,Upper 95% Confidence Interval.1.3,index.4, FIPS.4,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.4",Lower 95% Confidence Interval.5,Upper 95% Confidence Interval.5,Average Annual Count.4,Recent 5-Year Trend (ˆ) in Incidence Rates.4,Lower 95% Confidence Interval.1.4,Upper 95% Confidence Interval.1.4,index.5, FIPS.5,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.5",Lower 95% Confidence Interval.6,Upper 95% Confidence Interval.6,Average Annual Count.5,Recent 5-Year Trend (ˆ) in Incidence Rates.5,Lower 95% Confidence Interval.1.5,Upper 95% Confidence Interval.1.5,index.6, FIPS.6,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.6",Lower 95% Confidence Interval.7,Upper 95% Confidence Interval.7,Average Annual Count.6,Recent 5-Year Trend (ˆ) in Incidence Rates.6,Lower 95% Confidence Interval.1.6,Upper 95% Confidence Interval.1.6,Recent Trend1,County
2894,2894,2894,51161,55.2,49.6,61.4,72,-10,-19.1,0.1,2894,51161,55.2,49.6,61.4,72,-10,-19.1,0.1,2894,51161,55.2,49.6,61.4,72,-10,-19.1,0.1,2894,51161,55.2,49.6,61.4,72,-10,-19.1,0.1,2894,51161,55.2,49.6,61.4,72,-10,-19.1,0.1,2894,51161,55.2,49.6,61.4,72,-10,-19.1,0.1,2894,51161,55.2,49.6,61.4,72,-10,-19.1,0.1,2,2433
2969,2969,2969,53035,60.5,56.4,64.8,173,-1.6,-2.1,-1.1,2969,53035,60.5,56.4,64.8,173,-1.6,-2.1,-1.1,2969,53035,60.5,56.4,64.8,173,-1.6,-2.1,-1.1,2969,53035,60.5,56.4,64.8,173,-1.6,-2.1,-1.1,2969,53035,60.5,56.4,64.8,173,-1.6,-2.1,-1.1,2969,53035,60.5,56.4,64.8,173,-1.6,-2.1,-1.1,2969,53035,60.5,56.4,64.8,173,-1.6,-2.1,-1.1,1,1515
1064,1064,1064,21145,80.9,72.6,90,72,-6.3,-23.8,15.2,1064,21145,80.9,72.6,90,72,-6.3,-23.8,15.2,1064,21145,80.9,72.6,90,72,-6.3,-23.8,15.2,1064,21145,80.9,72.6,90,72,-6.3,-23.8,15.2,1064,21145,80.9,72.6,90,72,-6.3,-23.8,15.2,1064,21145,80.9,72.6,90,72,-6.3,-23.8,15.2,1064,21145,80.9,72.6,90,72,-6.3,-23.8,15.2,2,1844
1231,1231,1231,26003,48.6 #  ,34.1,68.7,8,-8.4,-43.1,47.4,1231,26003,48.6 #  ,34.1,68.7,8,-8.4,-43.1,47.4,1231,26003,48.6 #  ,34.1,68.7,8,-8.4,-43.1,47.4,1231,26003,48.6 #  ,34.1,68.7,8,-8.4,-43.1,47.4,1231,26003,48.6 #  ,34.1,68.7,8,-8.4,-43.1,47.4,1231,26003,48.6 #  ,34.1,68.7,8,-8.4,-43.1,47.4,1231,26003,48.6 #  ,34.1,68.7,8,-8.4,-43.1,47.4,2,38
2988,2988,2988,53073,59.8,55.2,64.6,133,-0.3,-0.8,0.2,2988,53073,59.8,55.2,64.6,133,-0.3,-0.8,0.2,2988,53073,59.8,55.2,64.6,133,-0.3,-0.8,0.2,2988,53073,59.8,55.2,64.6,133,-0.3,-0.8,0.2,2988,53073,59.8,55.2,64.6,133,-0.3,-0.8,0.2,2988,53073,59.8,55.2,64.6,133,-0.3,-0.8,0.2,2988,53073,59.8,55.2,64.6,133,-0.3,-0.8,0.2,2,3028
2399,2399,2399,46079,46,32.2,64.6,7,9.7,-26.4,63.6,2399,46079,46,32.2,64.6,7,9.7,-26.4,63.6,2399,46079,46,32.2,64.6,7,9.7,-26.4,63.6,2399,46079,46,32.2,64.6,7,9.7,-26.4,63.6,2399,46079,46,32.2,64.6,7,9.7,-26.4,63.6,2399,46079,46,32.2,64.6,7,9.7,-26.4,63.6,2399,46079,46,32.2,64.6,7,9.7,-26.4,63.6,2,1566
1323,1323,1323,27021,_ ,_, _,_,_,_,_,1323,27021,_ ,_, _,_,_,_,_,1323,27021,_ ,_, _,_,_,_,_,1323,27021,_ ,_, _,_,_,_,_,1323,27021,_ ,_, _,_,_,_,_,1323,27021,_ ,_, _,_,_,_,_,1323,27021,_ ,_, _,_,_,_,_,5,421
3035,3035,3035,54089,54.1,40.6,71.3,11,-8,-20.4,6.4,3035,54089,54.1,40.6,71.3,11,-8,-20.4,6.4,3035,54089,54.1,40.6,71.3,11,-8,-20.4,6.4,3035,54089,54.1,40.6,71.3,11,-8,-20.4,6.4,3035,54089,54.1,40.6,71.3,11,-8,-20.4,6.4,3035,54089,54.1,40.6,71.3,11,-8,-20.4,6.4,3035,54089,54.1,40.6,71.3,11,-8,-20.4,6.4,2,2720
2840,2840,2840,51045,58.9,37,91.5,5,-4.3,-46.9,72.4,2840,51045,58.9,37,91.5,5,-4.3,-46.9,72.4,2840,51045,58.9,37,91.5,5,-4.3,-46.9,72.4,2840,51045,58.9,37,91.5,5,-4.3,-46.9,72.4,2840,51045,58.9,37,91.5,5,-4.3,-46.9,72.4,2840,51045,58.9,37,91.5,5,-4.3,-46.9,72.4,2840,51045,58.9,37,91.5,5,-4.3,-46.9,72.4,2,651
2950,2950,2950,51840,57.1,45.5,70.9,17,-18.5,-30.7,-4.2,2950,51840,57.1,45.5,70.9,17,-18.5,-30.7,-4.2,2950,51840,57.1,45.5,70.9,17,-18.5,-30.7,-4.2,2950,51840,57.1,45.5,70.9,17,-18.5,-30.7,-4.2,2950,51840,57.1,45.5,70.9,17,-18.5,-30.7,-4.2,2950,51840,57.1,45.5,70.9,17,-18.5,-30.7,-4.2,2950,51840,57.1,45.5,70.9,17,-18.5,-30.7,-4.2,1,3070
